제품명,브랜드,카테고리,성분명
바이아토 더 순수 선크림,라꾸베(LaCouvee),선케어,"정제수;징크옥사이드;다이카프릴릴카보네이트;프로필헵틸카프릴레이트;코코-카프릴레이트/카프레이트;다이카프릴릴에터;티타늄디옥사이드;폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘;프로판다이올;부틸옥틸살리실레이트;글리세린;다이스테아다이모늄헥토라이트;쇠비름추출물;병풀추출물;약모밀추출물;알로에베라잎추출물;접시꽃추출물;우엉추출물;아마인추출물;오크라열매추출물;라우릴폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘;마그네슘설페이트;트라이에톡시카프릴릴실레인;메틸메타크릴레이트크로스폴리머;1,2-헥산다이올;솔비탄카프릴레이트;글리세릴카프릴레이트;에틸헥실글리세린;마이카;세라마이드엔피;토코페롤;향료;적색산화철;황색산화철"
바이아토 프레쉬 베이비 로션,라꾸베(LaCouvee),로션,"정제수;글리세린;하이드로제네이티드폴리(C6-14올레핀);1,2-헥산다이올;아이소스테아릴아이소스테아레이트;세틸알코올;스테아릭애씨드;폴리솔베이트60;병풀추출물;무화과추출물;알로에베라잎추출물;접시꽃추출물;쇠비름추출물;칡뿌리추출물;스페인감초뿌리추출물;작약추출물;천궁추출물;우엉추출물;아마씨추출물;오크라열매추출물;당느릅나무뿌리추출물;줄맨드라미씨추출물;수용성콜라겐;알로에베라잎즙;소듐하이알루로네이트;하이드로제네이티드레시틴;다이메티콘;솔비탄스테아레이트;글리세릴스테아레이트;피이지-100스테아레이트;판테놀;알지닌;카보머;라피노오스;부틸렌글라이콜;다이소듐이디티에이;토코페릴아세테이트;셀룰로오스검;세라마이드엔피;다이포타슘글리시리제이트;잔탄검;향료"
Fur Kinder Sonnenschutz Milch,라디발(Ladival),선케어,정제수;C12-15알킬벤조에이트;카프릴릭/카프릭트라이글리세라이드;이소아밀p-메톡시신나메이트;디에칠아미노하이드록시벤조일헥실벤조에이트;부틸렌글라이콜;폴리글리세릴-4디아이소스테아레이트/폴리하이드록시스테아레이트/세바케이트;비스-에칠헥실옥시페놀메톡시페닐트리아진;비즈왁스;에칠헥실트리아존;스테아랄코늄헥토라이트;글라이신;토코페릴아세테이트;포도씨추출물;토코페롤;유비퀴논;레시틴;아스코빌테트라이소팔미테이트;디아이소프로필아디페이트;글리세린;알코올;마스네슘설페이트;시트릭애씨드;프로필렌카보네이트;다이소듐이디티에이
리피카 레,라로슈포제(LAROCHE_POSAY),로션,정제수;시어버터;글리세린;미네랄오일;옥틸도데칸올;피이지-30스테아레이트;글리세릴스테아레이트;나이아신아마이드;다이메티콘;세틸알코올;세틸아세테이트;스테아레스-10;카프릴로일글라이신;테트라소듐이디티에이;아세틸레이티드라눌린알코올;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;소듐벤조에이트;페녹시에탄올;향료
리피카 밤 AP+,라로슈포제(LAROCHE-POSAY),크림/젤,정제수;시어버터;글리세린;다이메티콘;나이아신아마이드;미네랄오일;세테아릴알코올;서양유채씨오일;암모늄폴리아크릴로일디메틸타우레이트;피이지-100스테아레이트;글리세릴스테아레이트;피이지-20메틸글루코오스세스퀴스테아레이트;마이크로크리스탈린왁스;파라핀;솔비탄트리스테아레이트;다이메티콘올;만노오스;다이소듐이디티에이;카프릴로일글라이신;비트레오실라발효물;잔탄검;펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트;소듐벤조에이트
안뗄리오스 더모 키즈 로션(더모페디아트릭스스무스로션),라로슈포제(LAROCHE-POSAY),선케어,정제수;C12-15알킬벤조에이트;글리세린;에칠헥실살리실레이트;비스-에칠헥실옥시페놀메톡시페닐트리아진;변성알코올;디아이소프로필세바케이트;부틸메톡시디벤조일메탄;드로메트리졸트리실록산;프로필렌글라이콜;디에칠헥실부타미도트리아존;다이메티콘;합성왁스;티타늄디옥사이드;포타슘세틸포스페이트;암모늄폴리아크릴로일디메틸타우레이트;카프릴릴글라이콜;다이소듐이디티에이;글리세릴스테아레이트;하이드록시프로필메틸셀룰로오스;아이소프로필라우로일사코시네이트;팔미틱애씨드;피이지-100스테아레이트;펜틸렌글라이콜;페녹시에탄올;스테아릭애씨드;테레프탈릴리덴디캠퍼설포닉애씨드;토코페롤;트라이에탄올아민
안뗄리오스 더모 키즈 로션,라로슈포제(LAROCHE-POSAY),선케어,정제수;C12-15알킬벤조에이트;사이클로헥사실록세인;변성알코올;에칠헥실살리실레이트;아이소헥사데칸;티타늄디옥사이드;부틸메톡시벤조일메탄;비스-에칠헥실옥시페놀메톡시페닐트리아진;옥토크릴렌;피이지-30다이폴리하이드록시스테아레이트;프로필렌글라이콜;글리세린;테레프탈릴리덴디캠퍼설포닉애씨드;라우릴피이지/피피지-18/18메치콘;에칠헥실트리아존;트라이에탄올아민;페녹시에탄올;드로메트리졸트리실록산;다이메티콘;도데센;폴록사머407;토코페롤;펜타소듐에칠렌디아민테트라메틸렌포스네이트;말토덱스트린;캔들부쉬잎추출물
베이비킨더 2in1 바디&헤어 샴푸,라베라(lavera),클렌저/워시,정제수;글리세린;라우릴글루코사이드;소듐락테이트;소듐코코-설페이트;알로에베라잎수;소듐코코일글루타메이트;다이소듐코코일글루타메이트;달맞이꽃오일;다이포타슘글리시리제이트
베이비킨더 2in1 페이스&바디 크림,라베라(lavera),크림/젤,정제수;돌콩오일;글리세린;알코올;올리브오일;세틸알코올;세테아릴알코올;해바라기씨오일;글리세릴스테아레이트시트레이트;달맞이꽃오일;시어버터;잔탄검;서양유채스테롤;포타슘세틸포스페이트;글리세릴올리에이트;옻나무껍질왁스;하이드로제네이티드캐스터오일;하이드로제네이티드식물성오일;토코페릴아세테이트;토코페롤;아스코빌팔미테이트
베이비킨더 뉴트럴 2in1 바디&목욕 오일,라베라(lavera),오일,돌콩오일;해바라기씨오일;올리브오일;달맞이꽃오일;토코페롤
베이비킨더 다이아퍼 크림,라베라(lavera),크림/젤,정제수;돌콩오일;글리세린;알코올;올리브오일;세틸알코올;세테아릴알코올;해바라기씨오일;글리세릴스테아레이트시트레이트;달맞이꽃오일;시어버터;잔탄검;서양유채스테롤;포타슘세틸포스페이트;글리세릴올리에이트;옻나무껍질왁스;하이드로제네이티드캐스터오일;하이드로제네이티드식물성오일;토코페릴아세테이트;토코페롤;아스코빌팔미테이트
선 센시티브 베이비&킨더 선크림,라베라(lavera),선케어,정제수;해바라기하이브리드오일;티타늄디옥사이드;폴리글리세릴-3폴리리시놀리에이트;도데칸;알코올;카프릴릭/카프릭트라이글리세라이드;글리세린;해바라기씨오일;쉐어버터;소듐락테이트;하이드로제네이티드캐스터오일아이소스테아레이트;포트마리골드꽃추출물;호호바씨오일;당근추출물;고추추출물;베헤닐비즈왁스;스테아릴비즈왁스;스테아릭애씨드;알루미나;잔탄검;베타-카로틴;토코페릴아세테이트;토코페롤;아스코빌팔미테이트;향료;리모넨;리날룰;제라니올;시트로넬올;시트랄;쿠마린;유제놀;벤질벤조에이트;벤질알코올
쇼킹베이비 오일퍼퓸,라벨영(LabelYoung),오일,"정제수;사이클로헥사실록세인;사이클로펜타실록세인;호호바씨오일;글리세린;사과추출물;편백잎추출물;마트리카리아추출물;스타아니스추출물;황금추출물;아보카도오일;시어버터;토코페릴아세테이트;아르간커넬오일;올리브오일;야자씨버터;잇꽃씨오일;메도우폼씨오일;마카다미아넛오일;해바라기씨오일;부틸렌글라이콜;코코넛야자오일;스위트아몬드오일;흰버드나무껍질추출물;실론시나몬추출물;오레가노잎추출물;쇠비름추출물;소듐하이알루로네이트;락토바실러스/콩발효추출물;다이소듐이디티에이;1,2-헥산다이올;베르가모트오일;소듐클로라이드"
쇼킹베이비 올인원 로션,라벨영(LabelYoung),로션,"정제수;카프릴릭/카프릭트라이글리세라이드;부틸렌글라이콜;글리세린;비즈왁스;폴리글리세릴-3메틸글루코오스다이스테아레이트;사과추출물;편백잎추출물;마트리카리아추출물;스타아니스추출물;황금추출물;시트릭애씨드;야자씨버터;치자추출물;락토바실러스/콩발효추출물;흰버드나무껍질추출물;실론시나몬추출물;오레가노잎추출물;쇠비름추출물;스쿠알란;호호바씨오일;소듐하이알루로네이트;아르간커넬오일;올리브오일;코코넛야자오일;토코페롤;알에이치-올리고펩타이드-1;아세틸헥사펩타이드-8;사이클로펜타실록세인;사이클로헥사실록세인;세테아릴올리베이트;솔비탄올리베이트;잔탄검;알란토인;베타인;토코페릴아세테이트;다이소듐이디티에이;1,2-헥산다이올;소듐폴리아크릴레이트;하이드록시에틸셀룰로오스;해바라기씨오일;베르가모트오일;레몬오일"
쇼킹베이비 올인원클렌징,라벨영(LabelYonung),클렌저/워시,"정제수;다이소듐라우레스설포석시네이트;글리세린;코카미도프로필베타인;코카마이드미파;포타슘코코일글리시네이트;사과추출물;편백잎추출물;마트리카리아추출물;스타아니스추출물;황금추출물;알로에베라잎추출물;병풀추출물;퀼라야껍질추출물;비누풀잎추출물;레이디스맨틀잎추출물;유칼립투스잎추출물;약모밀추출물;관중추출물;락토바실러스/콩발효추출물;흰버드나무껍질추출물;실론시나몬추출물;오레가노잎추출물;쇠비름추출물;치자추출물;아르간커넬오일;올리브오일;호호바씨오일;코코넛야자오일;소듐하이알루로네이트;알란토인;베타인;다이소듐이디티에이;토코페릴아세테이트;부틸렌글라이콜;폴리쿼터늄-10;소듐클로라이드;1,2-헥산다이올;시트릭애씨드;해바라기씨오일;베르가모트오일"
쇼킹베이비 왁스,라벨영(LabelYoung),헤어,"정제수;사이클로펜타실록세인;글리세린;피브이피;다이메티콘;칸데릴라왁스;스테아릴알코올;피마자씨오일;피이지-100스테아레이트;브이피/디메틸아미노에칠메타크릴레이트코폴리머;세테스-3;카보머;카프릴릭/카프릭트라이글리세라이드;글리세릴스테아레이트;세틸팔미테이트;세테스-20;프로필렌글라이콜;트라이메틸펜타페닐트리실록산;포타슘하이드록사이드;사과수;쿼터늄-52;세틸알코올;덱스트린;폴리쿼터늄-11;리놀레아마이드디이에이;부테스-3;피이지-180;피이지-15;부틸렌글라이콜;1,2-헥산다이올;아보카도오일;해바라기씨오일;소듐하이알루로네이트;알진;트리부틸시트레이트;시트릭애씨드;검은깨추출물;살비아잎추출물;로즈마리꽃추출물;블랙커민씨추출물;뽕나무껍질추출물;라벤더꽃추출물;감초추출물;코코넛야자오일;천궁추출물;캐모마일꽃추출물;소듐벤조트리아졸릴부틸페놀설포네이트;치자황색소;치자청색소;글리세릴카프릴레이트;클로페네신;향료"
쇼킹베이비 파우더 크림,라벨영(LabelYoung),크림/젤,"정제수;부틸렌글라이콜;옥수수전분;다이프로필렌글라이콜;부틸렌글라이콜다이카프릴레이트/다이카프레이트;카프릴릭/카프릭트라이글리세라이드;폴리글리세릴-3메틸글루코오스다이스테아레이트;비즈왁스;사과추출물;편백잎추출물;마트리카리아추출물;스타아니스추출물;황금추출물;알란토인;다이포타슘글리시리제이트;코코넛야자오일;토코페릴아세테이트;호호바씨오일;아르간커넬오일;올리브오일;레이디스맨틀잎추출물;유칼립투스잎추출물;약모밀추출물;관중추출물;락토바실러스/콩발효추출물;흰버드나무껍질추출물;실론시나몬추출물;쇠비름추출물;아세틸헥사펩타이드-8;알에이치-올리고펩타이드-1;아크릴레이트/C10-30알킬아크릴레이트크로스폴리머;트로메타민;베타인;1,2-헥산다이올;소듐폴리아크릴레이트;세테아릴올리베이트;솔비탄올리베이트;시트릭애씨드;다이소듐이디티에이;소듐하이알루로네이트;해바라기씨오일;베르가모트오일"
